timestep,K2064010,V4145210,V5004030,V5015210
488,0.14885269,-0.79221916,-1.4052871,5.153712
489,0.15531045,-0.78640366,-1.4073614,5.156778
490,0.16276568,-0.7824934,-1.4114505,5.156791
491,0.1659473,-0.7808803,-1.4135666,5.1567435
492,0.16480453,-0.7811257,-1.4138126,5.1577225
493,0.16002871,-0.7835083,-1.4126772,5.160437
494,0.1538763,-0.7891483,-1.4091336,5.1595287
495,0.14583902,-0.79805374,-1.4091463,5.1589284
496,0.13857846,-0.80752546,-1.4176344,5.157896
497,0.12264094,-0.8297188,-1.4419512,5.152516
498,0.06852338,-0.85520095,-1.5934781,5.0843863
499,0.0694743,-0.8547575,-1.592992,5.084641
500,0.07057721,-0.85334677,-1.5933442,5.0839653
501,0.07116204,-0.8533259,-1.5939065,5.0849166
502,0.06945189,-0.85277253,-1.5925307,5.085222
503,0.070398055,-0.8528783,-1.5928243,5.084994
504,0.06948831,-0.85233235,-1.5922323,5.0852475
505,0.06969402,-0.8523822,-1.5911568,5.085624
506,0.07002115,-0.85095197,-1.5908803,5.085171
